"Variable","Domain","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"age","Demographics",0.0287880957951847,37,0,0,TRUE,FALSE,FALSE
"sex","Demographics",0.0138923228992146,2,0,0,FALSE,FALSE,FALSE
"education","Demographics",0.00868965617882058,0,0,0,FALSE,FALSE,FALSE
"income","Demographics",0.00488707631574763,0,0,0,FALSE,FALSE,FALSE
"employment","Demographics",0.00427585182279514,7,0,0,FALSE,FALSE,FALSE
"driving_freq","Demographics",0.00398321964294831,2,0,0,FALSE,FALSE,FALSE
"prov_terr","Demographics",0.00345009967581458,20,0,0,TRUE,FALSE,FALSE
"phq2_score","Clinical",0.00294419460141082,37,0,0,TRUE,FALSE,FALSE
"osss_3_score","Clinical",0.00229459145052995,17,0,0,TRUE,FALSE,FALSE
"gen_health","Clinical",0.00174417228240296,0,0,0,FALSE,FALSE,FALSE
"med_quant","Clinical",0.00148380918420365,37,3,0,TRUE,FALSE,FALSE
"n_physical_conditions","Clinical",0.00134009553024817,37,0,0,TRUE,FALSE,FALSE
"n_ment_conditions","Clinical",0.00124133506850773,5,0,0,FALSE,FALSE,FALSE
"n_sleep_conditions","Clinical",0.00115606639118941,37,28,9,TRUE,TRUE,FALSE
"n_health_conditions","Clinical",0.00108525329341695,37,1,0,TRUE,FALSE,FALSE
"bzra_daily_dose_eq","Clinical",0.00101757957646135,37,26,1,TRUE,TRUE,FALSE
"c_lengthofuse","Clinical",0.000925507269676526,37,29,5,TRUE,TRUE,FALSE
"fall2","Clinical",0.000852979653166106,0,0,0,FALSE,FALSE,FALSE
"alc_use","Clinical",0.000797739982717101,37,0,0,TRUE,FALSE,FALSE
"alc_sleep","Sleep_Adverse",0.000735023916868646,3,0,0,FALSE,FALSE,FALSE
"can_sleep","Sleep_Adverse",0.000668856038241947,0,0,0,FALSE,FALSE,FALSE
"melatonin_use","Sleep_Adverse",0.000611005409979279,37,8,0,TRUE,FALSE,FALSE
"op_sleep","Sleep_Adverse",0.000557921004118471,0,0,0,FALSE,FALSE,FALSE
"stop_wdl_exp_combined","Sleep_Adverse",0.000506213169586638,37,17,3,TRUE,TRUE,FALSE
"wdl_symptom_count","Sleep_Adverse",0.000446609426718672,37,23,11,TRUE,TRUE,TRUE
"EFA_F1","EFA_Factors",0.000395598814432907,37,35,10,TRUE,TRUE,TRUE
"EFA_F2","EFA_Factors",0.000322468435048722,37,35,9,TRUE,TRUE,FALSE
"EFA_F3","EFA_Factors",0.000259723184367637,35,0,0,TRUE,FALSE,FALSE
"EFA_F4","EFA_Factors",0.000216480742611697,16,0,0,TRUE,FALSE,FALSE
"BFI_Extraversion","Personality",0.000167191381611669,6,0,0,FALSE,FALSE,FALSE
"BFI_Agreeableness","Personality",0.000132497958079475,10,0,0,TRUE,FALSE,FALSE
"BFI_Conscientiousness","Personality",9.50038586784238e-05,15,0,0,TRUE,FALSE,FALSE
"BFI_Neuroticism","Personality",6.4004032085987e-05,36,0,0,TRUE,FALSE,FALSE
"BFI_Openness","Personality",4.04637468483269e-05,28,2,0,TRUE,FALSE,FALSE
"SURPS_Impulsivity","Personality",1.69187943900566e-05,37,0,0,TRUE,FALSE,FALSE
"SURPS_Sensation_Seeking","Personality",-6.9488687144112e-06,34,0,0,TRUE,FALSE,FALSE
"SURPS_Hopelessness","Personality",-2.19725462477373e-05,37,19,6,TRUE,TRUE,FALSE
"SURPS_Anxiety_Sensitivity","Personality",-4.67244481188388e-05,36,0,0,TRUE,FALSE,FALSE
"DBAS_Consequences","Personality",-7.61445924933569e-05,37,0,0,TRUE,FALSE,FALSE
"DBAS_Worry_Helplessness","Personality",-0.00010443188828391,35,1,0,TRUE,FALSE,FALSE
"DBAS_Expectations","Personality",-0.000129782646349681,0,0,0,FALSE,FALSE,FALSE
"DBAS_Medications","Personality",-0.000159487183266798,37,37,37,TRUE,TRUE,TRUE
"CISS_Task","Personality",-0.000199168939749728,32,1,0,TRUE,FALSE,FALSE
"CISS_Emotion","Personality",-0.000296371544050945,37,4,0,TRUE,FALSE,FALSE
"CISS_Avoidance","Personality",-0.00049632672325467,1,0,0,FALSE,FALSE,FALSE
