"Variable","Mean_Importance","Thres_Count","Interp_Count","Pred_Count","Majority_Thres","Majority_Interp","Majority_Pred"
"BFI_Extraversion",0.0529804307312407,1,0,0,FALSE,FALSE,FALSE
"BFI_Agreeableness",0.00848685585892123,5,0,0,FALSE,FALSE,FALSE
"BFI_Conscientiousness",0.00719451928586364,35,6,1,TRUE,FALSE,FALSE
"BFI_Neuroticism",0.00528109445896411,37,13,2,TRUE,TRUE,FALSE
"BFI_Openness",0.00420141624333974,32,9,1,TRUE,FALSE,FALSE
"SURPS_Impulsivity",0.00343299748571478,36,3,0,TRUE,FALSE,FALSE
"SURPS_Sensation_Seeking",0.0029405383197094,37,14,0,TRUE,TRUE,FALSE
"SURPS_Hopelessness",0.0024876316262434,37,28,23,TRUE,TRUE,TRUE
"SURPS_Anxiety_Sensitivity",0.00212152401304498,37,3,1,TRUE,FALSE,FALSE
"DBAS_Consequences",0.00177824063146361,37,15,0,TRUE,TRUE,FALSE
"DBAS_Worry_Helplessness",0.00136609387947869,31,5,0,TRUE,FALSE,FALSE
"DBAS_Expectations",0.000949606182479934,1,0,0,FALSE,FALSE,FALSE
"DBAS_Medications",0.000376692157736049,37,37,36,TRUE,TRUE,TRUE
"CISS_Task",-0.000137995118946215,31,4,0,TRUE,FALSE,FALSE
"CISS_Emotion",-0.000548354807072891,37,18,1,TRUE,TRUE,FALSE
"CISS_Avoidance",-0.00104726475973406,4,0,0,FALSE,FALSE,FALSE
