"item","factor","primary","cross_ld","h2"
"benefit_1",3,0.69,"",0.57
"benefit_4",3,0.75,"",0.65
"benefit_5",3,0.77,"",0.69
"benefit_6",3,0.74,"",0.53
"side_effects_1",2,0.7,"",0.48
"side_effects_2",2,0.76,"",0.62
"side_effects_3",2,0.65,"",0.42
"side_effects_4",2,0.44,"FLAG",0.42
"adls_1",2,0.9,"",0.79
"adls_2",2,0.82,"",0.67
"dependence_1",1,0.68,"",0.57
"dependence_2",1,0.51,"",0.41
"dependence_3",1,0.6,"",0.5
"motivation_1",1,0.83,"",0.69
"motivation_2",1,0.7,"",0.55
"motivation_3",1,0.45,"",0.49
"capability_1",1,-0.67,"",0.47
"capability_r",1,-0.72,"",0.55
"desires_2",4,0.68,"",0.53
"inf_hcp_3_r",NA,0.38,"",0.21
"desires_1",4,0.76,"",0.56
"inf_hcp_1_r",4,0.48,"",0.28
