"variable","psrf","converged"
"benefit_4",1.0155,TRUE
"driving_freq",1.011,TRUE
"surps9",1.0109,TRUE
"stop_wdl_exp_combined",1.0097,TRUE
"ciss21",1.0075,TRUE
"wdl_symptom_count",1.0072,TRUE
"ciss7",1.0069,TRUE
"ciss16",1.0068,TRUE
"ciss9",1.0066,TRUE
"trusting",1.0061,TRUE
"income",1.006,TRUE
"nervous",1.006,TRUE
"surps18",1.006,TRUE
"dbas_12",1.0056,TRUE
"ciss18",1.0054,TRUE
"dbas1",1.0047,TRUE
"dbas_13",1.0047,TRUE
"ciss14",1.0046,TRUE
"surps23_r",1.0043,TRUE
"ciss3",1.0043,TRUE
"surps21",1.0042,TRUE
"surps1_r",1.004,TRUE
"dependence_1",1.0039,TRUE
"inf_hcp_3",1.0038,TRUE
"surps12",1.0038,TRUE
"dbas_4",1.0037,TRUE
"surps17",1.0037,TRUE
"side_effects_1",1.0029,TRUE
"surps22",1.0024,TRUE
"benefit_5",1.0022,TRUE
"ciss20",1.0022,TRUE
"adls_1",1.0021,TRUE
"capability_1",1.0021,TRUE
"lazy_r",1.0021,TRUE
"surps11",1.0021,TRUE
"desires_1",1.0017,TRUE
"imagination",1.0015,TRUE
"outgoing",1.0014,TRUE
"dbas_5",1.0013,TRUE
"dbas_8",1.0013,TRUE
"desires_2",1.0012,TRUE
"dbas_2",1.0012,TRUE
"few_interests_r",1.0012,TRUE
"surps7_r",1.0009,TRUE
"adls_2",1.0007,TRUE
"dbas_6",1.0006,TRUE
"dbas_15",1.0006,TRUE
"surps3",1.0006,TRUE
"ciss1",1.0006,TRUE
"employment",1.0005,TRUE
"dependence_3",1.0005,TRUE
"reserved_r",1.0005,TRUE
"surps10",1.0005,TRUE
"ciss15",1.0005,TRUE
"ciss11",1.0004,TRUE
"surps15",1.0002,TRUE
"freq_dich",1,TRUE
"age",1,TRUE
"sex",1,TRUE
"prov_terr",1,TRUE
"education",1,TRUE
"phq2_score",1,TRUE
"gen_health",1,TRUE
"med_quant",1,TRUE
"c_lengthofuse",1,TRUE
"fall2",1,TRUE
"n_physical_conditions",1,TRUE
"n_ment_conditions",1,TRUE
"n_sleep_conditions",1,TRUE
"alc_sleep",1,TRUE
"can_sleep",1,TRUE
"melatonin_use",1,TRUE
"op_sleep",1,TRUE
"alc_use",1,TRUE
"bzra_daily_diazepam_eq",1,TRUE
"relaxed_r",1,TRUE
"find_fault_r",1,TRUE
"ciss8",1,TRUE
"osss_3_score",0.9999,TRUE
"ciss10",0.9999,TRUE
"surps8",0.9994,TRUE
"motivation_1",0.9993,TRUE
"motivation_3",0.9993,TRUE
"benefit_1",0.9992,TRUE
"surps2",0.9992,TRUE
"surps5",0.9992,TRUE
"ciss13",0.9992,TRUE
"capability",0.9991,TRUE
"ciss2",0.999,TRUE
"side_effects_2",0.9988,TRUE
"surps14",0.9987,TRUE
"dbas_3",0.9986,TRUE
"surps4_r",0.9986,TRUE
"surps6",0.9982,TRUE
"surps20_r",0.9981,TRUE
"surps16",0.998,TRUE
"benefit_6",0.9979,TRUE
"ciss17",0.9979,TRUE
"ciss4",0.9978,TRUE
"ciss12",0.9977,TRUE
"dbas_9",0.9975,TRUE
"surps19",0.9974,TRUE
"motivation_2",0.9971,TRUE
"ciss6",0.997,TRUE
"side_effects_3",0.9969,TRUE
"dependence_2",0.9969,TRUE
"thorough",0.9967,TRUE
"dbas_14",0.9966,TRUE
"ciss5",0.9965,TRUE
"dbas_7",0.9962,TRUE
"surps13_r",0.9961,TRUE
"dbas_16",0.9958,TRUE
"dbas_10",0.9957,TRUE
"side_effects_4",0.9942,TRUE
"inf_hcp_1",0.994,TRUE
"dbas_11",0.9925,TRUE
"ciss19",0.9923,TRUE
