"variable","pct_missing","FMI","flag"
"bzra_daily_diazepam_eq",2.4,0.08,"✓"
"wdl_symptom_count",4,0.039,"✓"
"benefit_4",10.4,0.032,"✓"
"side_effects_4",12.1,0.031,"✓"
"benefit_1",10,0.029,"✓"
"desires_1",13,0.029,"✓"
"side_effects_1",10.2,0.028,"✓"
"benefit_5",10.2,0.026,"✓"
"nervous",15.9,0.025,"✓"
"side_effects_2",10.4,0.024,"✓"
"surps3",16.1,0.023,"✓"
"ciss2",16.8,0.023,"✓"
"ciss11",17.1,0.023,"✓"
"ciss14",17.1,0.023,"✓"
"side_effects_3",10.4,0.022,"✓"
"dependence_1",12.6,0.022,"✓"
"dependence_3",13,0.022,"✓"
"inf_hcp_1",13.3,0.022,"✓"
"thorough",15.9,0.022,"✓"
"surps19",16.8,0.022,"✓"
"capability",13.3,0.021,"✓"
"desires_2",13.3,0.021,"✓"
"inf_hcp_3",13.3,0.021,"✓"
"dbas_13",15.9,0.021,"✓"
"ciss19",17.1,0.021,"✓"
"motivation_3",13,0.02,"✓"
"surps15",16.4,0.02,"✓"
"surps18",16.8,0.02,"✓"
"surps22",16.8,0.02,"✓"
"surps6",16.1,0.019,"✓"
"ciss13",17.1,0.019,"✓"
"adls_1",12.1,0.018,"✓"
"dbas_5",15.9,0.018,"✓"
"find_fault_r",15.9,0.018,"✓"
"ciss15",17.1,0.018,"✓"
"dbas_2",15.9,0.017,"✓"
"dbas_11",15.9,0.017,"✓"
"dbas_16",15.9,0.017,"✓"
"imagination",15.9,0.017,"✓"
"surps13_r",16.4,0.017,"✓"
"ciss1",16.8,0.017,"✓"
"ciss6",16.8,0.017,"✓"
"ciss18",17.1,0.017,"✓"
"motivation_1",13,0.016,"✓"
"dbas_7",15.9,0.016,"✓"
"trusting",15.9,0.016,"✓"
"surps9",16.4,0.016,"✓"
"ciss5",16.8,0.016,"✓"
"ciss7",16.8,0.016,"✓"
"benefit_6",10.4,0.015,"✓"
"adls_2",12.3,0.015,"✓"
"dbas1",15.9,0.015,"✓"
"dbas_4",15.9,0.015,"✓"
"dbas_12",15.9,0.015,"✓"
"dbas_15",15.9,0.015,"✓"
"outgoing",15.9,0.015,"✓"
"surps5",16.1,0.015,"✓"
"surps8",16.1,0.015,"✓"
"surps16",16.4,0.015,"✓"
"surps20_r",16.8,0.015,"✓"
"surps21",16.8,0.015,"✓"
"ciss9",16.8,0.015,"✓"
"ciss20",17.1,0.015,"✓"
"ciss21",17.1,0.015,"✓"
"capability_1",13.3,0.014,"✓"
"dbas_3",15.9,0.014,"✓"
"reserved_r",15.9,0.014,"✓"
"lazy_r",15.9,0.014,"✓"
"surps12",16.4,0.014,"✓"
"surps14",16.4,0.014,"✓"
"ciss4",16.8,0.014,"✓"
"ciss12",17.1,0.014,"✓"
"ciss17",17.1,0.014,"✓"
"motivation_2",13,0.013,"✓"
"dbas_9",15.9,0.013,"✓"
"few_interests_r",15.9,0.013,"✓"
"surps2",16.1,0.013,"✓"
"surps10",16.4,0.013,"✓"
"ciss3",16.8,0.013,"✓"
"surps7_r",16.1,0.012,"✓"
"surps17",16.8,0.012,"✓"
"dbas_6",15.9,0.011,"✓"
"dbas_14",15.9,0.011,"✓"
"surps23_r",16.8,0.011,"✓"
"ciss16",17.1,0.011,"✓"
"dbas_10",15.9,0.01,"✓"
"relaxed_r",15.9,0.01,"✓"
"surps11",16.4,0.01,"✓"
"ciss8",16.8,0.01,"✓"
"ciss10",16.8,0.01,"✓"
"dbas_8",15.9,0.009,"✓"
"surps1_r",16.1,0.009,"✓"
"surps4_r",16.1,0.009,"✓"
"dependence_2",13,0.008,"✓"
