"variable","n_missing","obs_mean","obs_sd","imp_mean","imp_sd","mean_diff","sd_ratio","abs_smd","flag"
"osss_3_score",1,10.209,2.261,10.324,2.082,0.115,0.921,0.053,"✓"
"bzra_daily_diazepam_eq",10,3.965,6.723,2.833,4.307,-1.132,0.641,0.201,"✓"
"benefit_1",42,3.763,0.976,3.737,0.981,-0.026,1.006,0.027,"✓"
"benefit_4",44,4.024,0.802,3.953,0.849,-0.071,1.058,0.086,"✓"
"benefit_5",43,4.066,0.772,3.989,0.864,-0.077,1.118,0.094,"✓"
"benefit_6",44,3.354,1.096,3.262,1.127,-0.092,1.029,0.083,"✓"
"side_effects_1",43,2.449,1.173,2.527,1.19,0.078,1.015,0.066,"✓"
"side_effects_2",44,2.087,0.961,1.98,0.895,-0.108,0.931,0.116,"✓"
"side_effects_3",44,1.577,0.824,1.622,0.883,0.045,1.071,0.053,"✓"
"side_effects_4",51,2.803,0.979,2.851,0.975,0.047,0.996,0.048,"✓"
"adls_1",51,1.916,0.951,1.975,0.905,0.058,0.952,0.063,"✓"
"adls_2",52,1.832,0.936,1.939,0.959,0.107,1.024,0.113,"✓"
"dependence_1",53,3.561,1.221,3.492,1.259,-0.069,1.031,0.056,"✓"
"dependence_2",55,3.392,1.175,3.353,1.222,-0.04,1.04,0.033,"✓"
"dependence_3",55,2.918,1.152,2.903,1.18,-0.016,1.024,0.013,"✓"
"motivation_1",55,3.253,1.234,3.191,1.262,-0.062,1.023,0.05,"✓"
"motivation_2",55,2.496,1.164,2.518,1.228,0.022,1.055,0.018,"✓"
"motivation_3",55,2.605,1.248,2.758,1.27,0.153,1.018,0.121,"✓"
"capability_1",56,3.134,1.192,3.194,1.201,0.061,1.008,0.051,"✓"
"capability",56,3.022,1.267,2.971,1.308,-0.051,1.032,0.039,"✓"
"desires_1",55,2.676,1.114,2.724,1.151,0.049,1.033,0.043,"✓"
"desires_2",56,2.418,0.908,2.45,0.885,0.032,0.975,0.035,"✓"
"inf_hcp_1",56,2.995,0.93,2.95,0.958,-0.044,1.03,0.047,"✓"
"inf_hcp_3",56,2.708,0.713,2.718,0.731,0.01,1.024,0.014,"✓"
"wdl_symptom_count",17,1.222,0.967,1.188,0.972,-0.035,1.005,0.036,"✓"
"dbas1",67,7.014,2.455,7.053,2.707,0.039,1.103,0.015,"✓"
"dbas_2",67,5.456,3.212,5.137,3.319,-0.319,1.033,0.098,"✓"
"dbas_3",67,7.685,2.498,7.178,2.837,-0.507,1.136,0.19,"✓"
"dbas_4",67,6.718,2.881,6.181,3.043,-0.538,1.056,0.181,"✓"
"dbas_5",67,6.992,2.516,6.732,2.784,-0.26,1.106,0.098,"✓"
"dbas_6",67,7.408,2.706,7.163,2.78,-0.245,1.027,0.089,"✓"
"dbas_7",67,6.346,2.821,6.165,3.056,-0.181,1.083,0.062,"✓"
"dbas_8",67,4.324,2.779,4.448,3.069,0.124,1.104,0.042,"✓"
"dbas_9",67,4.769,2.717,4.748,2.875,-0.021,1.058,0.008,"✓"
"dbas_10",67,7.211,2.444,6.894,2.799,-0.318,1.145,0.121,"✓"
"dbas_11",67,5.82,2.727,5.657,2.924,-0.163,1.072,0.058,"✓"
"dbas_12",67,6.758,2.586,6.502,2.802,-0.256,1.084,0.095,"✓"
"dbas_13",67,4.53,2.458,4.6,2.625,0.071,1.068,0.028,"✓"
"dbas_14",67,4.777,2.883,5.031,3.057,0.254,1.061,0.085,"✓"
"dbas_15",67,4.969,3.008,5,3.107,0.031,1.033,0.01,"✓"
"dbas_16",67,3.654,3.034,4.088,3.26,0.434,1.075,0.138,"✓"
"reserved_r",67,2.763,1.302,2.852,1.349,0.089,1.036,0.067,"✓"
"trusting",67,4.113,1.016,4.086,1.069,-0.026,1.052,0.025,"✓"
"lazy_r",67,4.054,1.167,3.98,1.209,-0.073,1.036,0.062,"✓"
"relaxed_r",67,2.93,1.218,2.947,1.3,0.018,1.068,0.014,"✓"
"few_interests_r",67,3.313,1.388,3.24,1.408,-0.072,1.014,0.052,"✓"
"outgoing",67,3.676,1.162,3.582,1.275,-0.094,1.098,0.077,"✓"
"find_fault_r",67,3.577,1.153,3.543,1.202,-0.035,1.043,0.029,"✓"
"thorough",67,4.335,0.852,4.224,1.006,-0.111,1.18,0.119,"✓"
"nervous",67,2.851,1.254,2.877,1.311,0.027,1.045,0.021,"✓"
"imagination",67,3.848,1.003,3.824,1.069,-0.024,1.067,0.023,"✓"
"surps1_r",68,2.048,0.644,2.101,0.711,0.053,1.104,0.078,"✓"
"surps2",68,2.226,0.718,2.282,0.742,0.056,1.033,0.077,"✓"
"surps3",68,1.523,0.875,1.616,0.936,0.093,1.069,0.103,"✓"
"surps4_r",68,2.02,0.683,2.082,0.762,0.062,1.115,0.086,"✓"
"surps5",68,2.119,0.712,2.126,0.771,0.007,1.082,0.009,"✓"
"surps6",68,2.763,0.738,2.692,0.791,-0.071,1.073,0.092,"✓"
"surps7_r",68,2.297,0.718,2.396,0.792,0.1,1.104,0.132,"✓"
"surps8",68,3.042,0.719,2.875,0.853,-0.167,1.186,0.212,"✓"
"surps9",69,2.085,0.734,2.078,0.757,-0.007,1.031,0.01,"✓"
"surps10",69,2.618,0.714,2.564,0.793,-0.054,1.111,0.071,"✓"
"surps11",69,1.932,0.64,1.971,0.687,0.039,1.073,0.059,"✓"
"surps12",69,1.754,0.941,1.786,0.973,0.033,1.034,0.034,"✓"
"surps13_r",69,1.694,0.566,1.696,0.585,0.002,1.032,0.003,"✓"
"surps14",69,2.371,0.758,2.35,0.825,-0.021,1.088,0.026,"✓"
"surps15",69,2.122,0.761,2.136,0.832,0.014,1.094,0.017,"✓"
"surps16",69,1.55,0.669,1.466,0.625,-0.084,0.935,0.13,"✓"
"surps17",71,1.647,0.768,1.706,0.795,0.059,1.036,0.076,"✓"
"surps18",71,2.501,0.713,2.436,0.783,-0.066,1.099,0.088,"✓"
"surps19",71,2.248,0.943,2.326,0.997,0.078,1.057,0.081,"✓"
"surps20_r",71,2,0.535,2.056,0.604,0.056,1.13,0.097,"✓"
"surps21",71,2.49,0.688,2.438,0.74,-0.052,1.075,0.073,"✓"
"surps22",71,1.587,0.635,1.624,0.686,0.037,1.08,0.057,"✓"
"surps23_r",71,2.353,0.721,2.407,0.763,0.054,1.058,0.072,"✓"
"ciss1",71,3.023,1.124,2.984,1.139,-0.038,1.013,0.034,"✓"
"ciss2",71,3.994,0.868,3.96,0.915,-0.035,1.054,0.039,"✓"
"ciss3",71,2.772,1.108,2.832,1.189,0.06,1.073,0.052,"✓"
"ciss4",71,2.96,1.251,3.016,1.31,0.056,1.047,0.044,"✓"
"ciss5",71,2.843,1.162,2.872,1.233,0.029,1.062,0.024,"✓"
"ciss6",71,3.65,0.929,3.62,0.998,-0.029,1.075,0.031,"✓"
"ciss7",71,3.048,1.195,2.976,1.251,-0.072,1.047,0.059,"✓"
"ciss8",71,3.729,0.9,3.536,1.016,-0.193,1.13,0.201,"✓"
"ciss9",71,2.325,1.175,2.388,1.263,0.063,1.075,0.051,"✓"
"ciss10",71,2.558,1.196,2.56,1.283,0.002,1.073,0.002,"✓"
"ciss11",72,4.011,0.856,3.968,0.898,-0.044,1.049,0.05,"✓"
"ciss12",72,2.651,1.037,2.62,1.089,-0.031,1.05,0.029,"✓"
"ciss13",72,3.486,0.849,3.495,0.877,0.009,1.033,0.01,"✓"
"ciss14",72,2.509,1.132,2.625,1.198,0.117,1.058,0.1,"✓"
"ciss15",72,3.169,1.201,3.06,1.233,-0.109,1.027,0.089,"✓"
"ciss16",72,3.797,0.893,3.716,0.939,-0.081,1.051,0.088,"✓"
"ciss17",72,3.489,1.088,3.458,1.228,-0.031,1.128,0.026,"✓"
"ciss18",72,2.3,1.147,2.289,1.17,-0.011,1.019,0.01,"✓"
"ciss19",72,3.349,0.939,3.317,0.971,-0.031,1.034,0.033,"✓"
"ciss20",72,2.534,1.056,2.57,1.131,0.036,1.071,0.032,"✓"
"ciss21",72,2.9,1.255,2.956,1.244,0.056,0.991,0.045,"✓"
