"variable","W","B","RIV","flag"
"bzra_daily_diazepam_eq",18.8296,1.5939,0.0846,"✓"
"wdl_symptom_count",0.9634,0.0384,0.0399,"✓"
"benefit_4",0.7144,0.0232,0.0325,"✓"
"side_effects_4",0.9404,0.0295,0.0314,"✓"
"benefit_1",0.9582,0.0276,0.0288,"✓"
"desires_1",1.3103,0.0375,0.0287,"✓"
"side_effects_1",1.4083,0.0401,0.0285,"✓"
"benefit_5",0.7439,0.0192,0.0258,"✓"
"nervous",1.7019,0.0425,0.025,"✓"
"side_effects_2",0.7996,0.0191,0.0239,"✓"
"ciss11",0.7996,0.0187,0.0234,"✓"
"ciss14",1.4235,0.0327,0.023,"✓"
"surps3",0.8686,0.0196,0.0226,"✓"
"inf_hcp_1",0.9143,0.0204,0.0224,"✓"
"ciss2",0.8309,0.0186,0.0224,"✓"
"dependence_1",1.5795,0.0352,0.0223,"✓"
"side_effects_3",0.7804,0.0172,0.022,"✓"
"surps19",0.9864,0.0214,0.0217,"✓"
"dependence_3",1.387,0.03,0.0216,"✓"
"thorough",1.0055,0.0215,0.0214,"✓"
"ciss19",0.9354,0.0199,0.0213,"✓"
"dbas_13",6.8508,0.1431,0.0209,"✓"
"capability",1.7059,0.0351,0.0206,"✓"
"desires_2",0.7816,0.016,0.0205,"✓"
"inf_hcp_3",0.5326,0.0109,0.0204,"✓"
"motivation_3",1.61,0.0327,0.0203,"✓"
"surps22",0.4673,0.0093,0.02,"✓"
"surps18",0.6104,0.0122,0.0199,"✓"
"surps15",0.689,0.0135,0.0196,"✓"
"ciss13",0.7645,0.0145,0.019,"✓"
"surps6",0.6234,0.0118,0.0189,"✓"
"adls_1",0.8203,0.0148,0.018,"✓"
"ciss15",1.5146,0.0268,0.0177,"✓"
"find_fault_r",1.4423,0.0253,0.0176,"✓"
"dbas_5",7.7304,0.1347,0.0174,"✓"
"dbas_11",8.5302,0.1458,0.0171,"✓"
"surps13_r",0.3409,0.0058,0.017,"✓"
"dbas_16",10.6072,0.1792,0.0169,"✓"
"ciss18",1.3641,0.023,0.0169,"✓"
"dbas_2",10.997,0.1827,0.0166,"✓"
"ciss1",1.2934,0.0213,0.0165,"✓"
"ciss6",0.9942,0.0164,0.0165,"✓"
"imagination",1.1417,0.0187,0.0164,"✓"
"dbas_7",9.3261,0.1523,0.0163,"✓"
"motivation_1",1.5963,0.0258,0.0162,"✓"
"ciss7",1.5629,0.0253,0.0162,"✓"
"ciss5",1.518,0.0245,0.0161,"✓"
"surps9",0.5716,0.009,0.0158,"✓"
"trusting",1.1429,0.0176,0.0154,"✓"
"benefit_6",1.2797,0.0196,0.0153,"✓"
"dbas_12",7.8509,0.1193,0.0152,"✓"
"surps21",0.5465,0.0083,0.0152,"✓"
"surps8",0.7269,0.0109,0.0151,"✓"
"ciss20",1.2771,0.0193,0.0151,"✓"
"ciss21",1.546,0.0234,0.0151,"✓"
"surps5",0.594,0.0089,0.015,"✓"
"adls_2",0.9232,0.0138,0.0149,"✓"
"dbas1",7.3299,0.1083,0.0148,"✓"
"dbas_4",9.2638,0.1372,0.0148,"✓"
"outgoing",1.6265,0.0237,0.0146,"✓"
"ciss9",1.5954,0.0233,0.0146,"✓"
"dbas_15",9.6558,0.1391,0.0144,"✓"
"surps16",0.3908,0.0056,0.0144,"✓"
"surps20_r",0.3646,0.0053,0.0144,"✓"
"capability_1",1.4483,0.0205,0.0142,"✓"
"surps14",0.6808,0.0097,0.0142,"✓"
"ciss4",1.7157,0.0241,0.014,"✓"
"reserved_r",1.8222,0.0252,0.0139,"✓"
"ciss17",1.5079,0.0209,0.0139,"✓"
"dbas_3",8.0597,0.1106,0.0137,"✓"
"lazy_r",1.4627,0.02,0.0136,"✓"
"surps12",0.9482,0.0127,0.0134,"✓"
"ciss12",1.1871,0.0158,0.0133,"✓"
"motivation_2",1.5157,0.0201,0.0132,"✓"
"few_interests_r",1.9869,0.026,0.0131,"✓"
"ciss3",1.416,0.0186,0.0131,"✓"
"dbas_9",8.2828,0.1081,0.013,"✓"
"surps2",0.5513,0.007,0.0126,"✓"
"surps10",0.6305,0.0078,0.0124,"✓"
"surps17",0.6339,0.0075,0.0119,"✓"
"surps7_r",0.6293,0.0073,0.0116,"✓"
"ciss16",0.884,0.0097,0.011,"✓"
"dbas_14",9.3836,0.1015,0.0108,"✓"
"dbas_6",7.7605,0.0817,0.0105,"✓"
"surps23_r",0.5848,0.0061,0.0104,"✓"
"surps11",0.4745,0.0048,0.0102,"✓"
"ciss10",1.6525,0.0169,0.0102,"✓"
"dbas_10",7.8699,0.0787,0.01,"✓"
"ciss8",1.0375,0.0102,0.0099,"✓"
"relaxed_r",1.6994,0.0166,0.0098,"✓"
"surps1_r",0.5079,0.0047,0.0092,"✓"
"surps4_r",0.5844,0.005,0.0086,"✓"
"dbas_8",9.4804,0.0796,0.0084,"✓"
"dependence_2",1.508,0.012,0.0079,"✓"
