Case_ID,CooksD_A_mean,CooksD_A_min,CooksD_A_max,CooksD_B_mean,CooksD_B_min,CooksD_B_max,Combined_mean
370,0.03644,0.03386,0.03997,0.01513,0.01058,0.021,0.02578
284,0.02725,0.02426,0.03051,0.01874,0.01562,0.02332,0.023
317,0.01346,0.01214,0.01468,0.02269,0.02043,0.02632,0.01807
201,0.02099,0.01726,0.02462,0.01457,0.0104,0.01748,0.01778
279,0.01891,0.01655,0.02043,0.01634,0.01458,0.01801,0.01762
262,0.01963,0.01578,0.02233,0.01454,0.01136,0.01817,0.01709
245,0.01065,0.00973,0.01236,0.02036,0.01908,0.02208,0.0155
61,0.01804,0.016,0.02024,0.01147,0.00946,0.01374,0.01476
232,0.01376,0.01245,0.0163,0.01484,0.01307,0.01664,0.0143
20,0.01625,0.01492,0.01757,0.01198,0.00998,0.013,0.01412
