term,OR_full,OR_CI_full,p_full,OR_clean,OR_CI_clean,p_clean,separation_flag,m_converged,OR_change_pct,Sig_full,Sig_clean,Robustness
capabilityC,2.5995693467816925,"2.60 [1.82, 3.70]",2.074170679116374e-7,5.398262863460686,"5.40 [3.06, 9.54]",6.371907608991426e-9,FALSE,37,107.7,TRUE,TRUE,Robust but substantial magnitude shift (>=25%)
DBAS_Medications,0.7432480032130174,"0.74 [0.64, 0.86]",1.4000299573750823e-4,0.6096149312661628,"0.61 [0.49, 0.75]",4.4960293186027695e-6,FALSE,37,-18,TRUE,TRUE,Robust (remains significant)
side_effectsC,1.5265441327996876,"1.53 [0.91, 2.56]",0.10938080208844862,2.2755873241822857,"2.28 [1.05, 4.92]",0.03665048654675083,FALSE,37,49.1,FALSE,TRUE,Gains significance after removal
c_lengthofuse,0.9790494108508776,"0.98 [0.95, 1.01]",0.17775901909376776,0.9398882767139202,"0.94 [0.90, 0.99]",0.009827519283408123,FALSE,37,-4,FALSE,TRUE,Gains significance after removal
n_sleep_conditions,0.8669252196402175,"0.87 [0.59, 1.28]",0.47554562927285404,0.9682660597525746,"0.97 [0.58, 1.61]",0.901345820817979,FALSE,37,11.7,FALSE,FALSE,Both non-significant
wdl_symptom_count,0.7260779838526928,"0.73 [0.38, 1.37]",0.3234636477679158,0.5328055232484802,"0.53 [0.21, 1.38]",0.19628104098430219,FALSE,37,-26.6,FALSE,FALSE,Both non-significant
adlsC,1.3121309123571032,"1.31 [0.86, 2.00]",0.20737972419168668,1.2479187498777016,"1.25 [0.68, 2.30]",0.4773558401991186,FALSE,37,-4.9,FALSE,FALSE,Both non-significant
stop_wdl_exp_combinedInsomnia only,1.0720459193975493,"1.07 [0.44, 2.64]",0.8794834026259633,1.516538914383323,"1.52 [0.43, 5.34]",0.5168374598179194,FALSE,37,41.5,FALSE,FALSE,Both non-significant
stop_wdl_exp_combinedOther withdrawal symptoms,1.2663217731320258,"1.27 [0.27, 5.92]",0.7632964427587118,2.8891643675034513,"2.89 [0.31, 26.88]",0.35113376125217605,FALSE,37,128.2,FALSE,FALSE,Both non-significant
dependenceC,1.256267862850167,"1.26 [0.85, 1.85]",0.24640006435078113,1.4502622249381465,"1.45 [0.87, 2.42]",0.1561306127831541,FALSE,37,15.4,FALSE,FALSE,Both non-significant
