model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model A — Personality (raw),(Intercept),1.3404214057650756,0.8432545912799269,3.820653211462465,0.7276238105718297,20.06172798384175,"3.82 [0.73, 20.06]",1.5895809161626127,0.11281786129319193,
Model A — Personality (raw),DBAS_Medications,-0.46137767589447254,0.07723695221768224,0.6304145400562138,0.5415045607554269,0.7339227055813946,"0.63 [0.54, 0.73]",-5.973535498839207,6.892601818632403e-9,***
Model A — Personality (raw),SURPS_Hopelessness,-0.46482782645907444,0.3190624830741348,0.6282432627455484,0.335442918628855,1.1766222366490608,"0.63 [0.34, 1.18]",-1.456855165109057,0.14603426890619775,
Model A — Personality (raw),CISS_Emotion,-0.16410734511096772,0.19507478635923986,0.8486509184635257,0.5782246261757013,1.245551207620377,"0.85 [0.58, 1.25]",-0.8412534914110117,0.40078862559410366,
Model A — Personality (raw),DBAS_Consequences,0.07893889225036708,0.07555043678477784,1.0821381930200693,0.9326942235812082,1.2555273091500836,"1.08 [0.93, 1.26]",1.0448502432254894,0.2968507272248675,
Model A — Personality (raw),SURPS_Sensation_Seeking,0.44393124846316995,0.26246087087785086,1.558823310439489,0.9303184053745314,2.6119338273128934,"1.56 [0.93, 2.61]",1.6914187893165047,0.0916274863356329,.
Model A — Personality (raw),BFI_Neuroticism,0.04273061262176202,0.1489151117894187,1.043656709033731,0.7785543173579433,1.3990280472754029,"1.04 [0.78, 1.40]",0.2869461138516788,0.7743511031338172,
Model B — Full (raw),(Intercept),-4.096372012003745,1.2013219848247445,0.016632910068439633,0.001564623595721196,0.17681805266223155,"0.02 [0.00, 0.18]",-3.4098868278027448,7.355609115908726e-4,***
Model B — Full (raw),capabilityC,0.9553457954551083,0.17983333554984837,2.5995693467816925,1.824840847048445,3.703205569766378,"2.60 [1.82, 3.70]",5.312395460686398,2.074170679116374e-7,***
Model B — Full (raw),DBAS_Medications,-0.2967255036692375,0.07695888239999917,0.7432480032130174,0.6388119442139852,0.8647577730561221,"0.74 [0.64, 0.86]",-3.855636859784241,1.4000299573750823e-4,***
Model B — Full (raw),side_effectsC,0.4230064438785053,0.26345819784406477,1.5265441327996876,0.9090235758647783,2.563560562407019,"1.53 [0.91, 2.56]",1.605592262226259,0.10938080208844862,
Model B — Full (raw),c_lengthofuse,-0.021173166988890723,0.015683266981659828,0.9790494108508776,0.9493246025550625,1.009704948452396,"0.98 [0.95, 1.01]",-1.3500482401817708,0.17775901909376776,
Model B — Full (raw),n_sleep_conditions,-0.14280255777822773,0.1999607242339278,0.8669252196402175,0.5851436294868575,1.2844014675633062,"0.87 [0.59, 1.28]",-0.7141530334285421,0.47554562927285404,
Model B — Full (raw),wdl_symptom_count,-0.3200978541509432,0.3236859950383557,0.7260779838526928,0.38405980536444956,1.3726748575923495,"0.73 [0.38, 1.37]",-0.9889147478036938,0.3234636477679158,
Model B — Full (raw),adlsC,0.27165246630411555,0.2150287141167359,1.3121309123571032,0.859522404708573,2.003074639743491,"1.31 [0.86, 2.00]",1.263331120310934,0.20737972419168668,
Model B — Full (raw),stop_wdl_exp_combinedInsomnia only,0.06956889699011472,0.4584788017953946,1.0720459193975493,0.43506855361305985,2.6416123246615584,"1.07 [0.44, 2.64]",0.15173852469881746,0.8794834026259633,
Model B — Full (raw),stop_wdl_exp_combinedOther withdrawal symptoms,0.2361164566186578,0.7833101860774976,1.2663217731320258,0.27104056680723687,5.916349910265247,"1.27 [0.27, 5.92]",0.3014341710542972,0.7632964427587118,
Model B — Full (raw),dependenceC,0.22814531190836967,0.1964453668151013,1.256267862850167,0.8534965602537558,1.8491099047439672,"1.26 [0.85, 1.85]",1.1613677411038412,0.24640006435078113,
