model,term,estimate,std.error,OR,OR_lower,OR_upper,OR_CI,statistic,p.value,sig
Model A — Personality (standardized),(Intercept),-1.16050644696153,0.12751365086778016,0.3133274569548337,0.24385644948476587,0.4025897018069898,"0.31 [0.24, 0.40]",-9.101036940467399,4.065859073493866e-18,***
Model A — Personality (standardized),DBAS_Medications,-0.9050183611333743,0.15233733444501457,0.40453445732370236,0.29971967873911626,0.5460039455888578,"0.40 [0.30, 0.55]",-5.9408835295069204,8.506585372000652e-9,***
Model A — Personality (standardized),SURPS_Hopelessness,-0.2238412224157885,0.15355859270239994,0.7994420577714529,0.591065207797693,1.081281041926267,"0.80 [0.59, 1.08]",-1.457692588063749,0.14579975837535503,
Model A — Personality (standardized),CISS_Emotion,-0.13046293309208132,0.15513396121813755,0.8776890255640849,0.646883442103962,1.1908451746579567,"0.88 [0.65, 1.19]",-0.8409695212296828,0.40094685914658,
Model A — Personality (standardized),DBAS_Consequences,0.15392428495459085,0.14725296236170973,1.166402569211504,0.873074230274316,1.558280964306708,"1.17 [0.87, 1.56]",1.0453051842617183,0.2966370425274089,
Model A — Personality (standardized),SURPS_Sensation_Seeking,0.21652046137531702,0.12813605689462249,1.2417484929758549,0.965141713117112,1.5976299634048712,"1.24 [0.97, 1.60]",1.6897699728139814,0.09194947947925089,.
Model A — Personality (standardized),BFI_Neuroticism,0.044828528082501616,0.15575058641474715,1.0458485108829219,0.7697641925917893,1.4209534793158056,"1.05 [0.77, 1.42]",0.2878225316155667,0.7736809258896192,
Model B — Full (standardized),(Intercept),-1.311676796134824,0.4729754479996934,0.26936800226426194,0.10620680109653413,0.6831871395682896,"0.27 [0.11, 0.68]",-2.7732449996763346,0.005890133904573988,**
Model B — Full (standardized),DBAS_Medications,-0.6036419724328398,0.14905314982752113,0.5468165145386704,0.4078256494912854,0.7331767899964058,"0.55 [0.41, 0.73]",-4.049843784793225,6.468554844476438e-5,***
Model B — Full (standardized),EFA_F1,-0.7089200945020893,0.16845018371703846,0.4921754135127614,0.35340676283838257,0.685432943390604,"0.49 [0.35, 0.69]",-4.208485137023826,3.2143762031163994e-5,***
Model B — Full (standardized),EFA_F2,0.7112536018755047,0.15026490510911744,2.0365426727980003,1.5155189416362733,2.736690346904704,"2.04 [1.52, 2.74]",4.733331454600232,3.166870042644246e-6,***
Model B — Full (standardized),c_lengthofuse,-0.1589044738961175,0.1508244287177924,0.8530778462799504,0.6341904581971294,1.1475130261064734,"0.85 [0.63, 1.15]",-1.0535725230124604,0.29271034726277495,
Model B — Full (standardized),n_sleep_conditions,-0.11798703794520417,0.13279938603022973,0.8887075720162055,0.6845125278646398,1.1538154765738926,"0.89 [0.68, 1.15]",-0.8884607186237009,0.3748197469475918,
Model B — Full (standardized),bzra_daily_dose_eq,0.142301656183353,0.11835921460942421,1.1529243828552913,0.913576557298973,1.4549789198971912,"1.15 [0.91, 1.45]",1.2022862491352018,0.22996983840281682,
Model B — Full (standardized),wdl_symptom_count,-0.18086081941021698,0.3180733603032001,0.8345515039835459,0.4462640258096181,1.560681956242478,"0.83 [0.45, 1.56]",-0.5686135400896614,0.5700515724196646,
Model B — Full (standardized),SURPS_Hopelessness,-0.4035487849130544,0.150134505637761,0.6679454403439,0.4972090657167514,0.8973108940261532,"0.67 [0.50, 0.90]",-2.6879149679735983,0.007505305031340303,**
Model B — Full (standardized),stop_wdl_exp_combinedInsomnia only,-0.12295924614066668,0.4645037187847417,0.8842997004520751,0.3545946900266184,2.205295178449875,"0.88 [0.35, 2.21]",-0.26471100481683746,0.7914002446546463,
Model B — Full (standardized),stop_wdl_exp_combinedOther withdrawal symptoms,0.15227957128096714,0.782845894784131,1.1644857477003436,0.24943142758209047,5.436472339280286,"1.16 [0.25, 5.44]",0.1945204954072833,0.8459060394377523,
