term,b_raw,p_raw,b_std,p_std,scale_change,note
(Intercept),3.1746731670323416,2.78266129084176e-4,-1.311676796134824,0.005890133904573988,-1.863,intercept
DBAS_Medications,-0.3076737592056312,5.73158658165592e-5,-0.6036419724328398,6.468554844476438e-5,0.296,1 SD ≈ scaled
EFA_F1,-0.8600072914814254,3.2378730703128105e-5,-0.7089200945020893,3.2143762031163994e-5,-0.1511,1 SD ≈ scaled
EFA_F2,0.9978919284355772,3.079731569657229e-6,0.7112536018755047,3.166870042644246e-6,-0.2866,1 SD ≈ scaled
c_lengthofuse,-0.01626634370968433,0.2927103472627749,-0.1589044738961175,0.29271034726277495,0.1426,1 SD ≈ scaled
n_sleep_conditions,-0.17251666731976623,0.3748197469475919,-0.11798703794520417,0.3748197469475918,-0.0545,1 SD ≈ scaled
bzra_daily_dose_eq,0.021295860830715656,0.22972051476723565,0.142301656183353,0.22996983840281682,0.121,1 SD ≈ scaled
wdl_symptom_count,-0.18690565633866932,0.570235468233558,-0.18086081941021698,0.5700515724196646,-0.006,1 SD ≈ scaled
SURPS_Hopelessness,-0.8377915336886409,0.007563794720080455,-0.4035487849130544,0.007505305031340303,-0.4342,1 SD ≈ scaled
stop_wdl_exp_combinedInsomnia only,-0.12295924614066639,0.7914002446546466,-0.12295924614066668,0.7914002446546463,0,factor — unchanged
stop_wdl_exp_combinedOther withdrawal symptoms,0.1522795712809673,0.8459060394377522,0.15227957128096714,0.8459060394377523,-0,factor — unchanged
