"scale","type","n_items","n_reversed","coef_type","reliability","rel_ci_lower","rel_ci_upper","raw_alpha","mean_inter_r","mean","sd","status"
"BFI_Extraversion","subscale",2,1,"Spearman-Brown",0.563,NA,NA,0.561,0.392,3.21,1.03,"POOR"
"BFI_Agreeableness","subscale",2,1,"Spearman-Brown",0.284,NA,NA,0.283,0.165,3.83,0.84,"POOR"
"BFI_Conscientiousness","subscale",2,1,"Spearman-Brown",0.439,NA,NA,0.423,0.281,4.18,0.82,"POOR"
"BFI_Neuroticism","subscale",2,1,"Spearman-Brown",0.604,NA,NA,0.604,0.432,2.89,1.05,"ACCEPTABLE"
"BFI_Openness","subscale",2,1,"Spearman-Brown",0.082,NA,NA,0.078,0.043,3.59,0.88,"POOR"
"SURPS_Hopelessness","subscale",7,6,"Cronbach alpha",0.836,0.811,0.859,0.836,0.424,2.01,0.48,"GOOD"
"SURPS_Impulsivity","subscale",5,0,"Cronbach alpha",0.719,0.675,0.76,0.719,0.338,2,0.48,"GOOD"
"SURPS_Sensation_Seeking","subscale",6,0,"Cronbach alpha",0.622,0.563,0.675,0.622,0.218,1.99,0.49,"ACCEPTABLE"
"SURPS_Anxiety_Sensitivity","subscale",5,0,"Cronbach alpha",0.689,0.639,0.733,0.689,0.308,2.59,0.49,"ACCEPTABLE"
"DBAS_Consequences","subscale",7,0,"Cronbach alpha",0.836,0.811,0.859,0.836,0.426,6.11,1.97,"GOOD"
"DBAS_Worry_Helplessness","subscale",4,0,"Cronbach alpha",0.657,0.601,0.708,0.657,0.324,5.53,1.94,"ACCEPTABLE"
"DBAS_Expectations","subscale",2,0,"Spearman-Brown",0.422,NA,NA,0.411,0.268,6.21,2.29,"POOR"
"DBAS_Medications","subscale",3,0,"Cronbach alpha",0.503,0.415,0.58,0.503,0.245,5.61,1.97,"POOR"
"DBAS_Total","subscale",16,0,"Cronbach alpha",0.858,0.837,0.877,0.858,0.275,5.88,1.57,"GOOD"
"CISS_Task","subscale",7,0,"Cronbach alpha",0.835,0.809,0.858,0.835,0.42,3.71,0.64,"GOOD"
"CISS_Emotion","subscale",7,0,"Cronbach alpha",0.829,0.803,0.853,0.829,0.41,2.76,0.79,"GOOD"
"CISS_Avoidance","subscale",7,0,"Cronbach alpha",0.733,0.692,0.77,0.733,0.279,2.81,0.74,"GOOD"
"benefitsC","composite",4,0,"Cronbach alpha",0.768,0.73,0.802,0.768,0.481,3.81,0.71,"GOOD"
"side_effectsC","composite",4,0,"Cronbach alpha",0.714,0.666,0.756,0.714,0.389,2.22,0.73,"GOOD"
"adlsC","composite",2,0,"Spearman-Brown",0.84,NA,NA,0.84,0.725,1.89,0.89,"GOOD"
"dependenceC","composite",3,0,"Cronbach alpha",0.698,0.645,0.745,0.698,0.435,3.29,0.94,"ACCEPTABLE"
"motivationC","composite",3,0,"Cronbach alpha",0.692,0.637,0.74,0.692,0.432,2.79,0.95,"ACCEPTABLE"
"capabilityC","composite",2,1,"Spearman-Brown",0.671,NA,NA,0.67,0.504,3.05,1.07,"ACCEPTABLE"
"pharmacistC","composite",2,1,"Spearman-Brown",0.233,NA,NA,0.228,0.132,2.86,0.61,"POOR"
"prescriberC","composite",2,1,"Spearman-Brown",0.446,NA,NA,0.441,0.287,2.83,0.82,"POOR"
